,,,,genus,genus,family,family,order,order,class,class,phylum,phylum
Selenomonas infelix,Selenomonas infelix,Selenomonas infelix,Selenomonas infelix,Selenomonas,Selenomonas,Selenomonadaceae,Selenomonadaceae,Selenomonadales,Selenomonadales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Melaminivora sp. SC2-9,Melaminivora sp. SC2-9,Melaminivora sp. SC2-9,Melaminivora sp. SC2-9,Melaminivora,Melaminivora,Comamonadaceae,Comamonadaceae,Burkholderiales,Burkholderiales,Betaproteobacteria,Betaproteobacteria,Proteobacteria,Proteobacteria
Sphingopyxis granuli,Sphingopyxis granuli,Sphingopyxis granuli,Sphingopyxis granuli,Sphingopyxis,Sphingopyxis,Sphingomonadaceae,Sphingomonadaceae,Sphingomonadales,Sphingomonadales,Alphaproteobacteria,Alphaproteobacteria,Proteobacteria,Proteobacteria
Aquamicrobium defluvii,Aquamicrobium defluvii,Aquamicrobium defluvii,Aquamicrobium defluvii,Aquamicrobium,Aquamicrobium,Phyllobacteriaceae,Phyllobacteriaceae,Hyphomicrobiales,Hyphomicrobiales,Alphaproteobacteria,Alphaproteobacteria,Proteobacteria,Proteobacteria
Chryseobacterium lacus,Chryseobacterium lacus,Chryseobacterium lacus,Chryseobacterium lacus,Chryseobacterium,Chryseobacterium,Weeksellaceae,Weeksellaceae,Flavobacteriales,Flavobacteriales,Flavobacteriia,Flavobacteriia,Bacteroidetes,Bacteroidetes
Paracoccus alkenifer,Paracoccus alkenifer,Paracoccus alkenifer,Paracoccus alkenifer,Paracoccus,Paracoccus,Rhodobacteraceae,Rhodobacteraceae,Rhodobacterales,Rhodobacterales,Alphaproteobacteria,Alphaproteobacteria,Proteobacteria,Proteobacteria
Paracoccus solventivorans,Paracoccus solventivorans,Paracoccus solventivorans,Paracoccus solventivorans,Paracoccus,Paracoccus,Rhodobacteraceae,Rhodobacteraceae,Rhodobacterales,Rhodobacterales,Alphaproteobacteria,Alphaproteobacteria,Proteobacteria,Proteobacteria
Prevotella saccharolytica,Prevotella saccharolytica,Prevotella saccharolytica,Prevotella saccharolytica,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Centipeda periodontii,Centipeda periodontii,Centipeda periodontii,Centipeda periodontii,Centipeda,Centipeda,Selenomonadaceae,Selenomonadaceae,Selenomonadales,Selenomonadales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Selenomonas sp. oral taxon 920,Selenomonas sp. oral taxon 920,Selenomonas sp. oral taxon 920,Selenomonas sp. oral taxon 920,Selenomonas,Selenomonas,Selenomonadaceae,Selenomonadaceae,Selenomonadales,Selenomonadales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Parvimonas sp. oral taxon 110,Parvimonas sp. oral taxon 110,Parvimonas sp. oral taxon 110,Parvimonas sp. oral taxon 110,Parvimonas,Parvimonas,Peptoniphilaceae,Peptoniphilaceae,Tissierellales,Tissierellales,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Haemophilus aegyptius,Haemophilus aegyptius,Haemophilus aegyptius,Haemophilus aegyptius,Haemophilus,Haemophilus,Pasteurellaceae,Pasteurellaceae,Pasteurellales,Pasteurellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Prevotella enoeca,Prevotella enoeca,Prevotella enoeca,Prevotella enoeca,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Bacteroides zoogleoformans,Bacteroides zoogleoformans,Bacteroides zoogleoformans,Bacteroides zoogleoformans,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Kosakonia radicincitans,Kosakonia radicincitans,Kosakonia radicincitans,Kosakonia radicincitans,Kosakonia,Kosakonia,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Kluyvera intermedia,Kluyvera intermedia,Kluyvera intermedia,Kluyvera intermedia,Kluyvera,Kluyvera,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Enterobacter soli,Enterobacter soli,Enterobacter soli,Enterobacter soli,Enterobacter,Enterobacter,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Veillonella montpellierensis,Veillonella montpellierensis,Veillonella montpellierensis,Veillonella montpellierensis,Veillonella,Veillonella,Veillonellaceae,Veillonellaceae,Veillonellales,Veillonellales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Moraxella atlantae,Moraxella atlantae,Moraxella atlantae,Moraxella atlantae,Moraxella,Moraxella,Moraxellaceae,Moraxellaceae,Moraxellales,Moraxellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Lactiplantibacillus pentosus,Lactiplantibacillus pentosus,Lactiplantibacillus pentosus,Lactiplantibacillus pentosus,Lactiplantibacillus,Lactiplantibacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Ottowia sp. oral taxon 894,Ottowia sp. oral taxon 894,Ottowia sp. oral taxon 894,Ottowia sp. oral taxon 894,Ottowia,Ottowia,Comamonadaceae,Comamonadaceae,Burkholderiales,Burkholderiales,Betaproteobacteria,Betaproteobacteria,Proteobacteria,Proteobacteria
Brevibacterium luteolum,Brevibacterium luteolum,Brevibacterium luteolum,Brevibacterium luteolum,Brevibacterium,Brevibacterium,Brevibacteriaceae,Brevibacteriaceae,Micrococcales,Micrococcales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Capnocytophaga sp. oral taxon 878,Capnocytophaga sp. oral taxon 878,Capnocytophaga sp. oral taxon 878,Capnocytophaga sp. oral taxon 878,Capnocytophaga,Capnocytophaga,Flavobacteriaceae,Flavobacteriaceae,Flavobacteriales,Flavobacteriales,Flavobacteriia,Flavobacteriia,Bacteroidetes,Bacteroidetes
Pseudoleptotrichia goodfellowii,Pseudoleptotrichia goodfellowii,Pseudoleptotrichia goodfellowii,Pseudoleptotrichia goodfellowii,Pseudoleptotrichia,Pseudoleptotrichia,Leptotrichiaceae,Leptotrichiaceae,Fusobacteriales,Fusobacteriales,Fusobacteriia,Fusobacteriia,Fusobacteria,Fusobacteria
Micrococcus aloeverae,Micrococcus aloeverae,Micrococcus aloeverae,Micrococcus aloeverae,Micrococcus,Micrococcus,Micrococcaceae,Micrococcaceae,Micrococcales,Micrococcales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Kosakonia sacchari,Kosakonia sacchari,Kosakonia sacchari,Kosakonia sacchari,Kosakonia,Kosakonia,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Pantoea dispersa,Pantoea dispersa,Pantoea dispersa,Pantoea dispersa,Pantoea,Pantoea,Erwiniaceae,Erwiniaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Lactobacillus equicursoris,Lactobacillus equicursoris,Lactobacillus equicursoris,Lactobacillus equicursoris,Lactobacillus,Lactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Prevotella sp. oral taxon 820,Prevotella sp. oral taxon 820,Prevotella sp. oral taxon 820,Prevotella sp. oral taxon 820,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Methanosphaera sp. SHI1033,Methanosphaera sp. SHI1033,Methanosphaera sp. SHI1033,Methanosphaera sp. SHI1033,Methanosphaera,Methanosphaera,Methanobacteriaceae,Methanobacteriaceae,Methanobacteriales,Methanobacteriales,Methanobacteria,Methanobacteria,Euryarchaeota,Euryarchaeota
Franconibacter helveticus,Franconibacter helveticus,Franconibacter helveticus,Franconibacter helveticus,Franconibacter,Franconibacter,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Pectobacterium carotovorum,Pectobacterium carotovorum,Pectobacterium carotovorum,Pectobacterium carotovorum,Pectobacterium,Pectobacterium,Pectobacteriaceae,Pectobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Bacillus altitudinis,Bacillus altitudinis,Bacillus altitudinis,Bacillus altitudinis,Bacillus,Bacillus,Bacillaceae,Bacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Bacteroidetes bacterium oral taxon 272,Bacteroidetes bacterium oral taxon 272,Bacteroidetes bacterium oral taxon 272,Bacteroidetes bacterium oral taxon 272,Bacteroidetes_NA_NA_NA_NA,Bacteroidetes_NA_NA_NA_NA,Bacteroidetes_NA_NA_NA,Bacteroidetes_NA_NA_NA,Bacteroidetes_NA_NA,Bacteroidetes_NA_NA,Bacteroidetes_NA,Bacteroidetes_NA,Bacteroidetes,Bacteroidetes
Anaerolineaceae bacterium oral taxon 439,Anaerolineaceae bacterium oral taxon 439,Anaerolineaceae bacterium oral taxon 439,Anaerolineaceae bacterium oral taxon 439,Anaerolineaceae_NA,Anaerolineaceae_NA,Anaerolineaceae,Anaerolineaceae,Anaerolineales,Anaerolineales,Anaerolineae,Anaerolineae,Chloroflexi,Chloroflexi
Treponema putidum,Treponema putidum,Treponema putidum,Treponema putidum,Treponema,Treponema,Treponemataceae,Treponemataceae,Spirochaetales,Spirochaetales,Spirochaetia,Spirochaetia,Spirochaetes,Spirochaetes
Pseudoramibacter alactolyticus,Pseudoramibacter alactolyticus,Pseudoramibacter alactolyticus,Pseudoramibacter alactolyticus,Pseudoramibacter,Pseudoramibacter,Eubacteriaceae,Eubacteriaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Acinetobacter nosocomialis,Acinetobacter nosocomialis,Acinetobacter nosocomialis,Acinetobacter nosocomialis,Acinetobacter,Acinetobacter,Moraxellaceae,Moraxellaceae,Moraxellales,Moraxellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Erwinia persicina,Erwinia persicina,Erwinia persicina,Erwinia persicina,Erwinia,Erwinia,Erwiniaceae,Erwiniaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Porphyromonas canoris,Porphyromonas canoris,Porphyromonas canoris,Porphyromonas canoris,Porphyromonas,Porphyromonas,Porphyromonadaceae,Porphyromonadaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Pluralibacter gergoviae,Pluralibacter gergoviae,Pluralibacter gergoviae,Pluralibacter gergoviae,Pluralibacter,Pluralibacter,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Liquorilactobacillus nagelii,Liquorilactobacillus nagelii,Liquorilactobacillus nagelii,Liquorilactobacillus nagelii,Liquorilactobacillus,Liquorilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Vibrio parahaemolyticus,Vibrio parahaemolyticus,Vibrio parahaemolyticus,Vibrio parahaemolyticus,Vibrio,Vibrio,Vibrionaceae,Vibrionaceae,Vibrionales,Vibrionales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Methanobrevibacter sp. 87.7,Methanobrevibacter sp. 87.7,Methanobrevibacter sp. 87.7,Methanobrevibacter sp. 87.7,Methanobrevibacter,Methanobrevibacter,Methanobacteriaceae,Methanobacteriaceae,Methanobacteriales,Methanobacteriales,Methanobacteria,Methanobacteria,Euryarchaeota,Euryarchaeota
Chlamydia ibidis,Chlamydia ibidis,Chlamydia ibidis,Chlamydia ibidis,Chlamydia,Chlamydia,Chlamydiaceae,Chlamydiaceae,Chlamydiales,Chlamydiales,Chlamydiia,Chlamydiia,Chlamydiae,Chlamydiae
Vagococcus teuberi,Vagococcus teuberi,Vagococcus teuberi,Vagococcus teuberi,Vagococcus,Vagococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Melissococcus sp. OM08-11BH,Melissococcus sp. OM08-11BH,Melissococcus sp. OM08-11BH,Melissococcus sp. OM08-11BH,Melissococcus,Melissococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Cronobacter malonaticus,Cronobacter malonaticus,Cronobacter malonaticus,Cronobacter malonaticus,Cronobacter,Cronobacter,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Vagococcus martis,Vagococcus martis,Vagococcus martis,Vagococcus martis,Vagococcus,Vagococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Enterococcus saccharolyticus,Enterococcus saccharolyticus,Enterococcus saccharolyticus,Enterococcus saccharolyticus,Enterococcus,Enterococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Mammaliicoccus sciuri,Mammaliicoccus sciuri,Mammaliicoccus sciuri,Mammaliicoccus sciuri,Mammaliicoccus,Mammaliicoccus,Staphylococcaceae,Staphylococcaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Campylobacter mucosalis,Campylobacter mucosalis,Campylobacter mucosalis,Campylobacter mucosalis,Campylobacter,Campylobacter,Campylobacteraceae,Campylobacteraceae,Campylobacterales,Campylobacterales,Epsilonproteobacteria,Epsilonproteobacteria,Proteobacteria,Proteobacteria
Pantoea rwandensis,Pantoea rwandensis,Pantoea rwandensis,Pantoea rwandensis,Pantoea,Pantoea,Erwiniaceae,Erwiniaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Alkalilimnicola ehrlichii,Alkalilimnicola ehrlichii,Alkalilimnicola ehrlichii,Alkalilimnicola ehrlichii,Alkalilimnicola,Alkalilimnicola,Ectothiorhodospiraceae,Ectothiorhodospiraceae,Chromatiales,Chromatiales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Stenotrophomonas rhizophila,Stenotrophomonas rhizophila,Stenotrophomonas rhizophila,Stenotrophomonas rhizophila,Stenotrophomonas,Stenotrophomonas,Xanthomonadaceae,Xanthomonadaceae,Xanthomonadales,Xanthomonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Corticimicrobacter populi,Corticimicrobacter populi,Corticimicrobacter populi,Corticimicrobacter populi,Corticimicrobacter,Corticimicrobacter,Alcaligenaceae,Alcaligenaceae,Burkholderiales,Burkholderiales,Betaproteobacteria,Betaproteobacteria,Proteobacteria,Proteobacteria
Capnocytophaga sp. oral taxon 338,Capnocytophaga sp. oral taxon 338,Capnocytophaga sp. oral taxon 338,Capnocytophaga sp. oral taxon 338,Capnocytophaga,Capnocytophaga,Flavobacteriaceae,Flavobacteriaceae,Flavobacteriales,Flavobacteriales,Flavobacteriia,Flavobacteriia,Bacteroidetes,Bacteroidetes
Capnocytophaga haemolytica,Capnocytophaga haemolytica,Capnocytophaga haemolytica,Capnocytophaga haemolytica,Capnocytophaga,Capnocytophaga,Flavobacteriaceae,Flavobacteriaceae,Flavobacteriales,Flavobacteriales,Flavobacteriia,Flavobacteriia,Bacteroidetes,Bacteroidetes
Corynebacterium ammoniagenes,Corynebacterium ammoniagenes,Corynebacterium ammoniagenes,Corynebacterium ammoniagenes,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Staphylococcus nepalensis,Staphylococcus nepalensis,Staphylococcus nepalensis,Staphylococcus nepalensis,Staphylococcus,Staphylococcus,Staphylococcaceae,Staphylococcaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Acinetobacter variabilis,Acinetobacter variabilis,Acinetobacter variabilis,Acinetobacter variabilis,Acinetobacter,Acinetobacter,Moraxellaceae,Moraxellaceae,Moraxellales,Moraxellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Acinetobacter schindleri,Acinetobacter schindleri,Acinetobacter schindleri,Acinetobacter schindleri,Acinetobacter,Acinetobacter,Moraxellaceae,Moraxellaceae,Moraxellales,Moraxellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Staphylococcus arlettae,Staphylococcus arlettae,Staphylococcus arlettae,Staphylococcus arlettae,Staphylococcus,Staphylococcus,Staphylococcaceae,Staphylococcaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Sphingobacterium cellulitidis,Sphingobacterium cellulitidis,Sphingobacterium cellulitidis,Sphingobacterium cellulitidis,Sphingobacterium,Sphingobacterium,Sphingobacteriaceae,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriales,Sphingobacteriia,Sphingobacteriia,Bacteroidetes,Bacteroidetes
Sphingobacterium mizutaii,Sphingobacterium mizutaii,Sphingobacterium mizutaii,Sphingobacterium mizutaii,Sphingobacterium,Sphingobacterium,Sphingobacteriaceae,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriales,Sphingobacteriia,Sphingobacteriia,Bacteroidetes,Bacteroidetes
Stenotrophomonas ginsengisoli,Stenotrophomonas ginsengisoli,Stenotrophomonas ginsengisoli,Stenotrophomonas ginsengisoli,Stenotrophomonas,Stenotrophomonas,Xanthomonadaceae,Xanthomonadaceae,Xanthomonadales,Xanthomonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Acinetobacter gandensis,Acinetobacter gandensis,Acinetobacter gandensis,Acinetobacter gandensis,Acinetobacter,Acinetobacter,Moraxellaceae,Moraxellaceae,Moraxellales,Moraxellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Allosphingosinicella indica,Allosphingosinicella indica,Allosphingosinicella indica,Allosphingosinicella indica,Allosphingosinicella,Allosphingosinicella,Sphingomonadaceae,Sphingomonadaceae,Sphingomonadales,Sphingomonadales,Alphaproteobacteria,Alphaproteobacteria,Proteobacteria,Proteobacteria
Flavobacterium ummariense,Flavobacterium ummariense,Flavobacterium ummariense,Flavobacterium ummariense,Flavobacterium,Flavobacterium,Flavobacteriaceae,Flavobacteriaceae,Flavobacteriales,Flavobacteriales,Flavobacteriia,Flavobacteriia,Bacteroidetes,Bacteroidetes
Pulveribacter suum,Pulveribacter suum,Pulveribacter suum,Pulveribacter suum,Pulveribacter,Pulveribacter,Comamonadaceae,Comamonadaceae,Burkholderiales,Burkholderiales,Betaproteobacteria,Betaproteobacteria,Proteobacteria,Proteobacteria
Glutamicibacter soli,Glutamicibacter soli,Glutamicibacter soli,Glutamicibacter soli,Glutamicibacter,Glutamicibacter,Micrococcaceae,Micrococcaceae,Micrococcales,Micrococcales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Photobacterium damselae,Photobacterium damselae,Photobacterium damselae,Photobacterium damselae,Photobacterium,Photobacterium,Vibrionaceae,Vibrionaceae,Vibrionales,Vibrionales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Raoultella sp. T31,Raoultella sp. T31,Raoultella sp. T31,Raoultella sp. T31,Raoultella,Raoultella,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Corynebacterium sp. HMSC058E07,Corynebacterium sp. HMSC058E07,Corynebacterium sp. HMSC058E07,Corynebacterium sp. HMSC058E07,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Corynebacterium jeikeium,Corynebacterium jeikeium,Corynebacterium jeikeium,Corynebacterium jeikeium,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Corynebacterium sp. HMSC078H07,Corynebacterium sp. HMSC078H07,Corynebacterium sp. HMSC078H07,Corynebacterium sp. HMSC078H07,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Corynebacterium minutissimum,Corynebacterium minutissimum,Corynebacterium minutissimum,Corynebacterium minutissimum,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Corynebacterium resistens,Corynebacterium resistens,Corynebacterium resistens,Corynebacterium resistens,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Brevibacterium mcbrellneri,Brevibacterium mcbrellneri,Brevibacterium mcbrellneri,Brevibacterium mcbrellneri,Brevibacterium,Brevibacterium,Brevibacteriaceae,Brevibacteriaceae,Micrococcales,Micrococcales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Paenibacillus macerans,Paenibacillus macerans,Paenibacillus macerans,Paenibacillus macerans,Paenibacillus,Paenibacillus,Paenibacillaceae,Paenibacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Anaerococcus nagyae,Anaerococcus nagyae,Anaerococcus nagyae,Anaerococcus nagyae,Anaerococcus,Anaerococcus,Peptoniphilaceae,Peptoniphilaceae,Tissierellales,Tissierellales,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Anaerococcus hydrogenalis,Anaerococcus hydrogenalis,Anaerococcus hydrogenalis,Anaerococcus hydrogenalis,Anaerococcus,Anaerococcus,Peptoniphilaceae,Peptoniphilaceae,Tissierellales,Tissierellales,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Mixta calida,Mixta calida,Mixta calida,Mixta calida,Mixta,Mixta,Erwiniaceae,Erwiniaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Acinetobacter baumannii,Acinetobacter baumannii,Acinetobacter baumannii,Acinetobacter baumannii,Acinetobacter,Acinetobacter,Moraxellaceae,Moraxellaceae,Moraxellales,Moraxellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Pseudescherichia vulneris,Pseudescherichia vulneris,Pseudescherichia vulneris,Pseudescherichia vulneris,Pseudescherichia,Pseudescherichia,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Corynebacterium tuberculostearicum,Corynebacterium tuberculostearicum,Corynebacterium tuberculostearicum,Corynebacterium tuberculostearicum,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Malassezia pachydermatis,Malassezia pachydermatis,Malassezia pachydermatis,Malassezia pachydermatis,Malassezia,Malassezia,Malasseziaceae,Malasseziaceae,Malasseziales,Malasseziales,Malasseziomycetes,Malasseziomycetes,Basidiomycota,Basidiomycota
Staphylococcus schweitzeri,Staphylococcus schweitzeri,Staphylococcus schweitzeri,Staphylococcus schweitzeri,Staphylococcus,Staphylococcus,Staphylococcaceae,Staphylococcaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Acinetobacter junii,Acinetobacter junii,Acinetobacter junii,Acinetobacter junii,Acinetobacter,Acinetobacter,Moraxellaceae,Moraxellaceae,Moraxellales,Moraxellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Paraclostridium benzoelyticum,Paraclostridium benzoelyticum,Paraclostridium benzoelyticum,Paraclostridium benzoelyticum,Paraclostridium,Paraclostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Staphylococcus pettenkoferi,Staphylococcus pettenkoferi,Staphylococcus pettenkoferi,Staphylococcus pettenkoferi,Staphylococcus,Staphylococcus,Staphylococcaceae,Staphylococcaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Shewanella oneidensis,Shewanella oneidensis,Shewanella oneidensis,Shewanella oneidensis,Shewanella,Shewanella,Shewanellaceae,Shewanellaceae,Alteromonadales,Alteromonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Shewanella xiamenensis,Shewanella xiamenensis,Shewanella xiamenensis,Shewanella xiamenensis,Shewanella,Shewanella,Shewanellaceae,Shewanellaceae,Alteromonadales,Alteromonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Klebsiella grimontii,Klebsiella grimontii,Klebsiella grimontii,Klebsiella grimontii,Klebsiella,Klebsiella,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Pantoea brenneri,Pantoea brenneri,Pantoea brenneri,Pantoea brenneri,Pantoea,Pantoea,Erwiniaceae,Erwiniaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Cloacibacterium normanense,Cloacibacterium normanense,Cloacibacterium normanense,Cloacibacterium normanense,Cloacibacterium,Cloacibacterium,Weeksellaceae,Weeksellaceae,Flavobacteriales,Flavobacteriales,Flavobacteriia,Flavobacteriia,Bacteroidetes,Bacteroidetes
Acidovorax caeni,Acidovorax caeni,Acidovorax caeni,Acidovorax caeni,Acidovorax,Acidovorax,Comamonadaceae,Comamonadaceae,Burkholderiales,Burkholderiales,Betaproteobacteria,Betaproteobacteria,Proteobacteria,Proteobacteria
Bacillus intestinalis,Bacillus intestinalis,Bacillus intestinalis,Bacillus intestinalis,Bacillus,Bacillus,Bacillaceae,Bacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Bacteroides pyogenes,Bacteroides pyogenes,Bacteroides pyogenes,Bacteroides pyogenes,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Corynebacterium pyruviciproducens,Corynebacterium pyruviciproducens,Corynebacterium pyruviciproducens,Corynebacterium pyruviciproducens,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Roseomonas mucosa,Roseomonas mucosa,Roseomonas mucosa,Roseomonas mucosa,Roseomonas,Roseomonas,Acetobacteraceae,Acetobacteraceae,Rhodospirillales,Rhodospirillales,Alphaproteobacteria,Alphaproteobacteria,Proteobacteria,Proteobacteria
