"","Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection","subject_id","mystery_id"
"154","SRX3139336","fecal sample from HMP2: Subject C3030C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472361",NA,1501.56,1,20290670,4015589288,"G95763_MGX","WGS","METAGENOMIC","RANDOM","C3030",NA
"155","SRX3139335","fecal sample from HMP2: Subject C3013C12_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472360",NA,1224,1,16565316,3279524194,"G95769_MGX","WGS","METAGENOMIC","RANDOM","C3013",NA
"156","SRX3139334","fecal sample from HMP2: Subject C3017C10_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472196",NA,1374.59,1,18311323,3630228592,"G95768_MGX","WGS","METAGENOMIC","RANDOM","C3017",NA
"157","SRX3139333","fecal sample from HMP2: Subject P6012C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472195",NA,829.6,1,11206943,2220152484,"G95819_MGX","WGS","METAGENOMIC","RANDOM","P6012",NA
"158","SRX3139332","fecal sample from HMP2: Subject C3027C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472865",NA,777.79,1,10353748,2047599935,"G95818_MGX","WGS","METAGENOMIC","RANDOM","C3027",NA
"159","SRX3139331","fecal sample from HMP2: Subject H4023C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472194",NA,880.09,1,10718452,2101090215,"G95662_MGX","WGS","METAGENOMIC","RANDOM","H4023",NA
"160","SRX3139330","fecal sample from HMP2: Subject M2048C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472193",NA,1238.35,1,16609530,3294285774,"G95821_MGX","WGS","METAGENOMIC","RANDOM","M2048",NA
"161","SRX3139329","fecal sample from HMP2: Subject C3013C6_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472864",NA,569.02,1,6842851,1334995283,"G95663_MGX","WGS","METAGENOMIC","RANDOM","C3013",NA
"162","SRX3139328","fecal sample from HMP2: Subject C3011C10_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472192",NA,1173.85,1,15849322,3142120133,"G95820_MGX","WGS","METAGENOMIC","RANDOM","C3011",NA
"163","SRX3139327","fecal sample from HMP2: Subject M2060C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472867",NA,651.41,1,7807950,1523515759,"G95677_MGX","WGS","METAGENOMIC","RANDOM","M2060",NA
"164","SRX3139326","fecal sample from HMP2: Subject C3024C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472191",NA,495.49,1,6016806,1176879161,"G95676_MGX","WGS","METAGENOMIC","RANDOM","C3024",NA
"165","SRX3139325","fecal sample from HMP2: Subject C3017C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472190",NA,1446.98,1,17706467,3458895991,"G95666_MGX","WGS","METAGENOMIC","RANDOM","C3017",NA
"166","SRX3139324","fecal sample from HMP2: Subject C3022C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472189",NA,1234.22,1,15043168,2940697187,"G95664_MGX","WGS","METAGENOMIC","RANDOM","C3022",NA
"167","SRX3139323","fecal sample from HMP2: Subject M2047C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472188",NA,1370.59,1,16457782,3200095426,"G95668_MGX","WGS","METAGENOMIC","RANDOM","M2047",NA
"168","SRX3139322","fecal sample from HMP2: Subject C3017C8_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472861",NA,1356.65,1,16459521,3221695057,"G95667_MGX","WGS","METAGENOMIC","RANDOM","C3017",NA
"169","SRX3139321","fecal sample from HMP2: Subject M2059C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472187",NA,741.01,1,9109355,1781553557,"G95672_MGX","WGS","METAGENOMIC","RANDOM","M2059",NA
"170","SRX3139320","fecal sample from HMP2: Subject C3013C9_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472186",NA,578.95,1,7045897,1374932701,"G95669_MGX","WGS","METAGENOMIC","RANDOM","C3013",NA
"171","SRX3139319","fecal sample from HMP2: Subject P6010C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472185",NA,1153.18,1,14060522,2747904932,"G95674_MGX","WGS","METAGENOMIC","RANDOM","P6010",NA
"172","SRX3139318","fecal sample from HMP2: Subject C3011C8_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472184",NA,208.7,1,2548323,498258853,"G95673_MGX","WGS","METAGENOMIC","RANDOM","C3011",NA
"173","SRX3139317","fecal sample from HMP2: Subject C3019C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472359",NA,857.62,1,10320051,2017582036,"G95659_MGX","WGS","METAGENOMIC","RANDOM","C3019",NA
"174","SRX3139316","fecal sample from HMP2: Subject M2008C11_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472183",NA,4394.46,1,31678911,6164236792,"G79927_MGX","WGS","METAGENOMIC","RANDOM","M2008",NA
"175","SRX3139315","fecal sample from HMP2: Subject C3002C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472358",NA,1805.18,1,13178250,2567253262,"G79929_MGX","WGS","METAGENOMIC","RANDOM","C3002",NA
"176","SRX3139314","fecal sample from HMP2: Subject H4001C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472182",NA,2802.63,1,20379570,3976394200,"G79922_MGX","WGS","METAGENOMIC","RANDOM","H4001",NA
"177","SRX3139313","fecal sample from HMP2: Subject E5002C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472181",NA,2051.78,1,15774877,3115357382,"G79923_MGX","WGS","METAGENOMIC","RANDOM","E5002",NA
"178","SRX3139312","fecal sample from HMP2: Subject C3003C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472180",NA,3380.31,1,24717912,4820082018,"G79948_MGX","WGS","METAGENOMIC","RANDOM","C3003",NA
"179","SRX3139311","fecal sample from HMP2: Subject C3002C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472179",NA,3072.9,1,22269155,4332666604,"G79949_MGX","WGS","METAGENOMIC","RANDOM","C3002",NA
"180","SRX3139310","fecal sample from HMP2: Subject C3004C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472862",NA,2366.97,1,16965939,3294229400,"G79930_MGX","WGS","METAGENOMIC","RANDOM","C3004",NA
"181","SRX3139309","fecal sample from HMP2: Subject M2028C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472178",NA,2906.35,1,20980165,4077137992,"G79934_MGX","WGS","METAGENOMIC","RANDOM","M2028",NA
"182","SRX3139308","fecal sample from HMP2: Subject E5004C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472357",NA,3130.21,1,22785565,4441574434,"G79950_MGX","WGS","METAGENOMIC","RANDOM","E5004",NA
"183","SRX3139307","fecal sample from HMP2: Subject H4001C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472177",NA,2198.66,1,16026426,3125560415,"G79957_MGX","WGS","METAGENOMIC","RANDOM","H4001",NA
"184","SRX3139306","fecal sample from HMP2: Subject C3011C16_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472863",NA,834.16,1,10207924,1987802434,"G95686_MGX","WGS","METAGENOMIC","RANDOM","C3011",NA
"185","SRX3139305","fecal sample from HMP2: Subject P6009C9_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472176",NA,1321.52,1,15917550,3107882918,"G95687_MGX","WGS","METAGENOMIC","RANDOM","P6009",NA
"186","SRX3139304","fecal sample from HMP2: Subject C3017C9_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472175",NA,768.05,1,9261621,1810812951,"G95680_MGX","WGS","METAGENOMIC","RANDOM","C3017",NA
"187","SRX3139303","fecal sample from HMP2: Subject H4027C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472174",NA,1337.73,1,16361805,3208609642,"G95681_MGX","WGS","METAGENOMIC","RANDOM","H4027",NA
"188","SRX3139302","fecal sample from HMP2: Subject P6009C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472173",NA,973.04,1,11857637,2323538234,"G95678_MGX","WGS","METAGENOMIC","RANDOM","P6009",NA
"189","SRX3139301","fecal sample from HMP2: Subject H4008C17_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472356",NA,929.78,1,11258587,2203862426,"G95679_MGX","WGS","METAGENOMIC","RANDOM","H4008",NA
"190","SRX3139300","fecal sample from HMP2: Subject M2064C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472172",NA,812.65,1,9834459,1921415450,"G95684_MGX","WGS","METAGENOMIC","RANDOM","M2064",NA
"191","SRX3139299","fecal sample from HMP2: Subject H4008C19_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472171",NA,896.05,1,10764414,2105517349,"G95685_MGX","WGS","METAGENOMIC","RANDOM","H4008",NA
"192","SRX3139298","fecal sample from HMP2: Subject P6016C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472170",NA,999.76,1,12197700,2385317990,"G95682_MGX","WGS","METAGENOMIC","RANDOM","P6016",NA
"193","SRX3139297","fecal sample from HMP2: Subject C3029C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472169",NA,534.61,1,6557662,1277665347,"G95683_MGX","WGS","METAGENOMIC","RANDOM","C3029",NA
"194","SRX3139296","fecal sample from HMP2: Subject C3010C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472168",NA,914.2,1,11144187,2175464009,"G95645_MGX","WGS","METAGENOMIC","RANDOM","C3010",NA
"195","SRX3139295","fecal sample from HMP2: Subject H4016C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472167",NA,689.1,1,8374405,1635311313,"G95644_MGX","WGS","METAGENOMIC","RANDOM","H4016",NA
"196","SRX3139294","fecal sample from HMP2: Subject C3001C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472166",NA,2132.04,1,16457816,3260885015,"G79894_MGX","WGS","METAGENOMIC","RANDOM","C3001",NA
"197","SRX3139293","fecal sample from HMP2: Subject P6009C22_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472165",NA,1180.75,1,15572509,3074748885,"G95825_MGX","WGS","METAGENOMIC","RANDOM","P6009",NA
"198","SRX3139292","fecal sample from HMP2: Subject M2010C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472164",NA,2372.13,1,17122545,3311386956,"G79886_MGX","WGS","METAGENOMIC","RANDOM","M2010",NA
"199","SRX3139291","fecal sample from HMP2: Subject C3001C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472163",NA,1289.62,1,9962604,1966125724,"G79889_MGX","WGS","METAGENOMIC","RANDOM","C3001",NA
"200","SRX3139290","fecal sample from HMP2: Subject E5001C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472162",NA,1656.43,1,12037083,2339816511,"G79909_MGX","WGS","METAGENOMIC","RANDOM","E5001",NA
"201","SRX3139289","fecal sample from HMP2: Subject C3001C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472161",NA,2312.17,1,17810656,3520315528,"G79913_MGX","WGS","METAGENOMIC","RANDOM","C3001",NA
"202","SRX3139288","fecal sample from HMP2: Subject C3001C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472160",NA,3247.82,1,23658927,4599002505,"G79903_MGX","WGS","METAGENOMIC","RANDOM","C3001",NA
"203","SRX3139287","fecal sample from HMP2: Subject M2008C10_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472159",NA,2652.09,1,19382341,3760197327,"G79905_MGX","WGS","METAGENOMIC","RANDOM","M2008",NA
"204","SRX3139286","fecal sample from HMP2: Subject M2014C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472354",NA,335.3,1,2460438,477165227,"G79920_MGX","WGS","METAGENOMIC","RANDOM","M2014",NA
"205","SRX3139285","fecal sample from HMP2: Subject E5003C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472860",NA,1528.32,1,10923255,2107551375,"G79921_MGX","WGS","METAGENOMIC","RANDOM","E5003",NA
"206","SRX3139284","fecal sample from HMP2: Subject M2014C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472158",NA,1855.89,1,13589621,2633054286,"G79897_MGX","WGS","METAGENOMIC","RANDOM","M2014",NA
"207","SRX3139283","fecal sample from HMP2: Subject H4009C9_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472355",NA,654.87,1,8052087,1579413760,"G95651_MGX","WGS","METAGENOMIC","RANDOM","H4009",NA
"208","SRX3139282","fecal sample from HMP2: Subject H4008C9_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472157",NA,972.15,1,11786563,2307321611,"G95650_MGX","WGS","METAGENOMIC","RANDOM","H4008",NA
"209","SRX3139281","fecal sample from HMP2: Subject C3016C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472156",NA,1059.49,1,12764530,2494842431,"G95649_MGX","WGS","METAGENOMIC","RANDOM","C3016",NA
"210","SRX3139280","fecal sample from HMP2: Subject H4019C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472155",NA,676.52,1,8269125,1608206138,"G95648_MGX","WGS","METAGENOMIC","RANDOM","H4019",NA
"211","SRX3139279","fecal sample from HMP2: Subject H4009C8_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472154",NA,581.03,1,7039142,1378054215,"G95647_MGX","WGS","METAGENOMIC","RANDOM","H4009",NA
"212","SRX3139278","fecal sample from HMP2: Subject H4008C8_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472153",NA,774.13,1,9411746,1842016948,"G95646_MGX","WGS","METAGENOMIC","RANDOM","H4008",NA
"213","SRX3139277","fecal sample from HMP2: Subject C3013C10_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472152",NA,81.8,1,1058165,207865064,"G95757_MGX","WGS","METAGENOMIC","RANDOM","C3013",NA
"214","SRX3139276","fecal sample from HMP2: Subject E5019C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472353",NA,919.32,1,12084589,2374832291,"G95758_MGX","WGS","METAGENOMIC","RANDOM","E5019",NA
"215","SRX3139275","fecal sample from HMP2: Subject M2058C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472151",NA,1423.65,1,19205334,3809575551,"G95755_MGX","WGS","METAGENOMIC","RANDOM","M2058",NA
"216","SRX3139274","fecal sample from HMP2: Subject C3022C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472150",NA,1640.41,1,21951001,4351541943,"G95756_MGX","WGS","METAGENOMIC","RANDOM","C3022",NA
"217","SRX3139273","fecal sample from HMP2: Subject H4008C15_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472149",NA,1167.8,1,15527672,3066640152,"G95753_MGX","WGS","METAGENOMIC","RANDOM","H4008",NA
"218","SRX3139272","fecal sample from HMP2: Subject P6013C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472148",NA,609.76,1,8185497,1601942089,"G95754_MGX","WGS","METAGENOMIC","RANDOM","P6013",NA
"219","SRX3139271","fecal sample from HMP2: Subject H4016C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472147",NA,1015.37,1,13536672,2682486379,"G95751_MGX","WGS","METAGENOMIC","RANDOM","H4016",NA
"220","SRX3139270","fecal sample from HMP2: Subject H4008C11_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472859",NA,737.5,1,9839860,1941744304,"G95752_MGX","WGS","METAGENOMIC","RANDOM","H4008",NA
"221","SRX3139269","fecal sample from HMP2: Subject P6005C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472146",NA,479.47,1,6360572,1255702792,"G95749_MGX","WGS","METAGENOMIC","RANDOM","P6005",NA
"222","SRX3139268","fecal sample from HMP2: Subject H4009C10_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472145",NA,1002.72,1,13460251,2667204168,"G95750_MGX","WGS","METAGENOMIC","RANDOM","H4009",NA
"223","SRX3106619","fecal sample from HMP2: Subject M2014C11_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2441870",NA,2926.87,1,21328801,4145505909,"G80005_MGX","WGS","METAGENOMIC","RANDOM","M2014",NA
"224","SRX3106607","fecal sample from HMP2: Subject C3001C10_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2441858",NA,3127.57,1,22915587,4470652866,"G80053_MGX","WGS","METAGENOMIC","RANDOM","C3001",NA
"225","SRX3106606","fecal sample from HMP2: Subject H4001C10_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2441857",NA,2143.9,1,15550602,3023932890,"G80068_MGX","WGS","METAGENOMIC","RANDOM","H4001",NA
"226","SRX3106601","fecal sample from HMP2: Subject M2008C12_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2441852",NA,2602.19,1,18927469,3671046908,"G79937_MGX","WGS","METAGENOMIC","RANDOM","M2008",NA
"227","SRX3106582","fecal sample from HMP2: Subject M2008C14_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2441833",NA,2062.81,1,15051105,2912036641,"G79981_MGX","WGS","METAGENOMIC","RANDOM","M2008",NA
"228","SRX3106652","fecal sample from HMP2: Subject M2025C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2441903",NA,2823.58,1,20447552,3969476839,"G80041_MGX","WGS","METAGENOMIC","RANDOM","M2025",NA
"229","SRX3106651","fecal sample from HMP2: Subject C3003C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2441902",NA,2729.82,1,21041142,4164375426,"G80043_MGX","WGS","METAGENOMIC","RANDOM","C3003",NA
"230","SRX3106650","fecal sample from HMP2: Subject M2014C6_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2441901",NA,2410.08,1,17711746,3455956122,"G79910_MGX","WGS","METAGENOMIC","RANDOM","M2014",NA
