,superkingdom,phylum,class,order,family,genus,species
Dermabacter vaginalis,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermabacteraceae,Dermabacter,Dermabacter vaginalis
Selenomonas sp. oral taxon 892,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sp. oral taxon 892
Acinetobacter guillouiae,Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter guillouiae
Aliarcobacter cryaerophilus,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,Aliarcobacter cryaerophilus
Flavobacterium lindanitolerans,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium lindanitolerans
Brevundimonas diminuta,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas diminuta
Chryseobacterium gambrini,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium gambrini
Acidovorax sp. MR-S7,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. MR-S7
Leucobacter sp. UCD-THU,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Leucobacter,Leucobacter sp. UCD-THU
Gordonia jacobaea,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia jacobaea
Corynebacterium callunae,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium callunae
Phytobacter ursingii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Phytobacter,Phytobacter ursingii
Candidatus Gastranaerophilales bacterium HUM_9,Bacteria,Candidatus Melainabacteria,Candidatus Melainabacteria_NA,Candidatus Gastranaerophilales,Candidatus Gastranaerophilales_NA,Candidatus Gastranaerophilales_NA_NA,Candidatus Gastranaerophilales bacterium HUM_9
Prevotella intermedia,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella intermedia
Aggregatibacter sp. oral taxon 458,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter sp. oral taxon 458
Alloprevotella tannerae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella tannerae
Eubacterium brachy,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,Eubacteriales Family XIII. Incertae Sedis_NA,Eubacterium brachy
Prevotella nigrescens,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella nigrescens
Lentilactobacillus sunkii,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus sunkii
Prevotella histicola,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella histicola
Providencia alcalifaciens,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Providencia alcalifaciens
Bacillus aerius,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus aerius
Helicobacter pullorum,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pullorum
Porphyromonas gingivalis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis
Filifactor alocis,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Filifactor,Filifactor alocis
Eubacterium saphenum,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,Eubacteriales Family XIII. Incertae Sedis_NA,Eubacterium saphenum
Alloprevotella sp. oral taxon 473,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella sp. oral taxon 473
Prevotella jejuni,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella jejuni
Porphyromonas somerae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas somerae
Porphyromonas sp. oral taxon 278,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas sp. oral taxon 278
Prevotella sp. oral taxon 299,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp. oral taxon 299
Desulfobulbus oralis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,Desulfobulbus oralis
Oribacterium asaccharolyticum,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium asaccharolyticum
Campylobacter rectus,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter rectus
Leptotrichia wadei,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia wadei
Prevotella denticola,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella denticola
Treponema denticola,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema denticola
Prevotella sp. oral taxon 306,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp. oral taxon 306
Prevotella pleuritidis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella pleuritidis
Eubacterium nodatum,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,Eubacteriales Family XIII. Incertae Sedis_NA,Eubacterium nodatum
Tannerella sp. oral taxon HOT-286,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,Tannerella sp. oral taxon HOT-286
Neisseria elongata,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria elongata
Leptotrichia buccalis,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia buccalis
Prevotella salivae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella salivae
Aggregatibacter actinomycetemcomitans,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans
Prevotella scopos,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella scopos
Capnocytophaga leadbetteri,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga leadbetteri
Lautropia mirabilis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,Lautropia mirabilis
Eubacterium infirmum,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,Eubacteriales Family XIII. Incertae Sedis_NA,Eubacterium infirmum
Actinomyces sp. oral taxon 180,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 180
Streptococcus macedonicus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus macedonicus
Prevotella shahii,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii
Leptotrichia sp. oral taxon 215,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia sp. oral taxon 215
Prevotella sp. F0091,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp. F0091
Alloprevotella rava,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella rava
Capnocytophaga granulosa,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga granulosa
Lachnoanaerobaculum saburreum,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoanaerobaculum,Lachnoanaerobaculum saburreum
Capnocytophaga gingivalis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga gingivalis
Neisseria polysaccharea,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria polysaccharea
Prevotella fusca,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella fusca
Streptococcus sp. HMSC067H01,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp. HMSC067H01
Leptotrichia hofstadii,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia hofstadii
Mogibacterium pumilum,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,Mogibacterium,Mogibacterium pumilum
Prevotella veroralis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella veroralis
Leptotrichia sp. oral taxon 498,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia sp. oral taxon 498
Arachnia propionica,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Arachnia,Arachnia propionica
Neisseria sp. oral taxon 014,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria sp. oral taxon 014
Desulfomicrobium orale,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,Desulfomicrobium orale
Neisseria macacae,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria macacae
Actinomyces sp. oral taxon 170,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 170
Treponema lecithinolyticum,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema lecithinolyticum
Pauljensenia hongkongensis,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Pauljensenia,Pauljensenia hongkongensis
Parvimonas sp. oral taxon 393,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas,Parvimonas sp. oral taxon 393
Leptotrichia sp. oral taxon 225,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia sp. oral taxon 225
Capnocytophaga ochracea,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga ochracea
Prevotella maculosa,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella maculosa
Cardiobacterium hominis,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,Cardiobacterium hominis
Eubacterium minutum,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,Eubacteriales Family XIII. Incertae Sedis_NA,Eubacterium minutum
Prevotella micans,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella micans
Bacteroidetes oral taxon 274,Bacteria,Bacteroidetes,Bacteroidetes_NA,Bacteroidetes_NA_NA,Bacteroidetes_NA_NA_NA,Bacteroidetes_NA_NA_NA_NA,Bacteroidetes oral taxon 274
Hydrogenibacillus schlegelii,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Hydrogenibacillus,Hydrogenibacillus schlegelii
Thermoleophilum album,Bacteria,Actinobacteria,Thermoleophilia,Thermoleophilales,Thermoleophilaceae,Thermoleophilum,Thermoleophilum album
Prevotella multiformis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella multiformis
Kingella denitrificans,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,Kingella denitrificans
Morococcus cerebrosus,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Morococcus,Morococcus cerebrosus
Leptotrichia sp. oral taxon 212,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia sp. oral taxon 212
Neisseria sp. HMSC064E01,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria sp. HMSC064E01
Schaalia cardiffensis,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia cardiffensis
Leptotrichia sp. oral taxon 879,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia sp. oral taxon 879
Prevotella loescheii,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella loescheii
Treponema medium,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema medium
Prevotella baroniae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella baroniae
Prevotella dentalis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella dentalis
Treponema sp. OMZ 838,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema sp. OMZ 838
Actinomyces massiliensis,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces massiliensis
Treponema socranskii,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema socranskii
Treponema vincentii,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema vincentii
Entamoeba histolytica,Eukaryota,Evosea,Evosea_NA,Mastigamoebida,Entamoebidae,Entamoeba,Entamoeba histolytica
Streptococcus sp. oral taxon 058,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp. oral taxon 058
Simonsiella muelleri,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Simonsiella,Simonsiella muelleri
Kingella negevensis,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,Kingella negevensis
Streptococcus sp. HMSC070B10,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp. HMSC070B10
Porphyromonas catoniae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas catoniae
Schaalia meyeri,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia meyeri
Kluyvera georgiana,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kluyvera,Kluyvera georgiana
Shuttleworthia satelles,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Shuttleworthia,Shuttleworthia satelles
Selenomonas sputigena,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sputigena
Helicobacter fennelliae,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter fennelliae
Catonella morbi,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Catonella,Catonella morbi
Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter sakazakii
Lactococcus plantarum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus plantarum
Megasphaera hexanoica,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera hexanoica
Streptococcus sinensis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sinensis
Prevotella marshii,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella marshii
Tannerella sp. oral taxon 808,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,Tannerella sp. oral taxon 808
Scardovia inopinata,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Scardovia,Scardovia inopinata
Mitsuokella sp. oral taxon 131,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Mitsuokella,Mitsuokella sp. oral taxon 131
Peptostreptococcaceae bacterium oral taxon 113,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptostreptococcaceae_NA,Peptostreptococcaceae bacterium oral taxon 113
Prevotella multisaccharivorax,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella multisaccharivorax
Cardiobacterium valvarum,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,Cardiobacterium valvarum
Kosakonia oryzae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Kosakonia oryzae
Cetobacterium somerae,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,Cetobacterium somerae
Providencia rettgeri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Providencia rettgeri
Capnocytophaga sp. oral taxon 332,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sp. oral taxon 332
Actinomyces sp. oral taxon 897,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 897
Plesiomonas shigelloides,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacterales_NA,Plesiomonas,Plesiomonas shigelloides
Escherichia fergusonii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii
Lachnoanaerobaculum umeaense,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoanaerobaculum,Lachnoanaerobaculum umeaense
Leptotrichia sp. oral taxon 847,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia sp. oral taxon 847
Selenomonas flueggei,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas flueggei
Microvirgula aerodenitrificans,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Microvirgula,Microvirgula aerodenitrificans
Selenomonas sp. oral taxon 126,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sp. oral taxon 126
Kingella oralis,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,Kingella oralis
Treponema maltophilum,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema maltophilum
Schaalia georgiae,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia georgiae
Selenomonas sp. oral taxon 138,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sp. oral taxon 138
Johnsonella ignava,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Johnsonella,Johnsonella ignava
Selenomonas sp. FOBRC6,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sp. FOBRC6
Capnocytophaga sp. oral taxon 863,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sp. oral taxon 863
Peptoanaerobacter stomatis,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptoanaerobacter,Peptoanaerobacter stomatis
Kurthia sp. 11kri321,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia,Kurthia sp. 11kri321
Fusobacterium hwasookii,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium hwasookii
Moraxella catarrhalis,Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,Moraxella catarrhalis
Neisseria lactamica,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria lactamica
Eubacterium yurii,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptoanaerobacter,Eubacterium yurii
Haemophilus sp. C1,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus sp. C1
Neisseria bacilliformis,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria bacilliformis
Aeromonas dhakensis,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas dhakensis
Veillonella denticariosi,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella denticariosi
Epilithonimonas bovis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Epilithonimonas,Epilithonimonas bovis
Acinetobacter brisouii,Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter brisouii
Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
Chryseobacterium sp. 39-10,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp. 39-10
Vogesella sp. EB,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Vogesella,Vogesella sp. EB
Staphylococcus gallinarum,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus gallinarum
Microlunatus phosphovorus,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Microlunatus,Microlunatus phosphovorus
Klebsiella variicola CAG:634,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella variicola CAG:634
Micrococcus luteus,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus
Brevundimonas vesicularis,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas vesicularis
Kocuria indica,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Kocuria,Kocuria indica
Agitococcus lubricus,Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Agitococcus,Agitococcus lubricus
Neisseria meningitidis,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria meningitidis
Oribacterium sp. oral taxon 078,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sp. oral taxon 078
Selenomonas infelix,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas infelix
Melaminivora sp. SC2-9,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Melaminivora,Melaminivora sp. SC2-9
Sphingopyxis granuli,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis granuli
Aquamicrobium defluvii,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Aquamicrobium,Aquamicrobium defluvii
Chryseobacterium lacus,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium lacus
Paracoccus alkenifer,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus alkenifer
Paracoccus solventivorans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus solventivorans
Prevotella saccharolytica,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella saccharolytica
Centipeda periodontii,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Centipeda,Centipeda periodontii
Selenomonas sp. oral taxon 920,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sp. oral taxon 920
Parvimonas sp. oral taxon 110,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas,Parvimonas sp. oral taxon 110
Haemophilus aegyptius,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus aegyptius
Prevotella enoeca,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella enoeca
Bacteroides zoogleoformans,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides zoogleoformans
Kosakonia radicincitans,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Kosakonia radicincitans
Kluyvera intermedia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kluyvera,Kluyvera intermedia
Enterobacter soli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter soli
Veillonella montpellierensis,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella montpellierensis
Moraxella atlantae,Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,Moraxella atlantae
Lactiplantibacillus pentosus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pentosus
Ottowia sp. oral taxon 894,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ottowia,Ottowia sp. oral taxon 894
Brevibacterium luteolum,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium luteolum
Capnocytophaga sp. oral taxon 878,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sp. oral taxon 878
Pseudoleptotrichia goodfellowii,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Pseudoleptotrichia,Pseudoleptotrichia goodfellowii
